"","year","from","to","points","contig","comlang_off","colony","dist","rank","from_number","to_number"
"1",1975,"Austria","Austria",-2,0,0,0,108.9196,-1,16,16
"2",1975,"Austria","Belgium",-2,0,1,0,914.4633,-1,16,8
"3",1975,"Austria","Croatia",-2,0,0,1,270.6798,-1,16,22
"4",1975,"Austria","Cyprus",-2,0,0,0,2017.949,-1,16,18
"5",1975,"Austria","Denmark",-2,0,0,0,868.5304,-1,16,17
"6",1975,"Austria","Estonia",-2,0,0,0,1360.358,-1,16,24
"7",1975,"Austria","Finland",-2,0,0,0,1437.813,-1,16,12
"8",1975,"Austria","France",-2,0,0,0,1035.144,-1,16,3
"9",1975,"Austria","Germany",-2,1,1,0,763.7314,-1,16,4
"10",1975,"Austria","Greece",-2,0,0,0,1283.6,-1,16,14
"11",1975,"Austria","Iceland",-2,0,0,0,2891.521,-1,16,19
"12",1975,"Austria","Ireland",-2,0,0,0,1681.996,-1,16,7
"13",1975,"Austria","Israel",-2,0,0,0,2369.546,-1,16,13
"14",1975,"Austria","Italy",-2,1,0,0,767.4132,-1,16,21
"15",1975,"Austria","Malta",-2,0,0,0,1379.07,-1,16,20
"16",1975,"Austria","Norway",-2,0,0,0,1351.699,-1,16,5
"17",1975,"Austria","Portugal",-2,0,0,0,2299.266,-1,16,9
"18",1975,"Austria","Slovenia",-2,1,0,1,277.8844,-1,16,23
"19",1975,"Austria","Spain",-2,0,0,0,1811.999,-1,16,1
"20",1975,"Austria","Sweden",-2,0,0,0,1242.31,-1,16,6
"21",1975,"Austria","Switzerland",-2,1,1,0,684.8875,-1,16,10
"22",1975,"Austria","The Netherlands",-2,0,0,0,934.7828,-1,16,11
"23",1975,"Austria","Turkey",-2,0,0,0,1275.02,-1,16,15
"24",1975,"Austria","United Kingdom",-2,0,0,0,1238.199,-1,16,2
"26",1975,"Belgium","Austria",0,0,1,0,914.4633,11,8,16
"27",1975,"Belgium","Belgium",-1,0,0,0,68.44467,-1,8,8
"28",1975,"Belgium","Croatia",0,0,0,0,1024.412,11,8,22
"29",1975,"Belgium","Cyprus",0,0,0,0,2904.975,11,8,18
"30",1975,"Belgium","Denmark",0,0,0,0,767.1575,11,8,17
"31",1975,"Belgium","Estonia",0,0,0,0,1601.098,11,8,24
"32",1975,"Belgium","Finland",0,0,0,0,1651.582,11,8,12
"33",1975,"Belgium","France",2,1,1,0,262.3845,9,8,3
"34",1975,"Belgium","Germany",0,1,1,0,196.8761,11,8,4
"35",1975,"Belgium","Greece",0,0,0,0,2089.225,11,8,14
"36",1975,"Belgium","Iceland",0,0,0,0,2133.168,11,8,19
"37",1975,"Belgium","Ireland",12,0,0,0,775.6281,1,8,7
"38",1975,"Belgium","Israel",1,0,0,0,3245.262,10,8,13
"39",1975,"Belgium","Italy",6,0,0,0,1174.904,5,8,21
"40",1975,"Belgium","Malta",7,0,0,0,1851.035,4,8,20
"41",1975,"Belgium","Norway",0,0,0,0,1087.773,11,8,5
"42",1975,"Belgium","Portugal",0,0,0,0,1711.396,11,8,9
"43",1975,"Belgium","Slovenia",0,0,0,0,916.7943,11,8,23
