"","x"
"1",5
"2",3
"3",3
"4",3
"5",3
"6",5
"7",3
"8",3
"9",2
"10",4
"11",0
"12",5
"13",4
"14",4
"15",1
"16",4
"17",7
"18",18
"19",9
"20",21
"21",5
"22",2
"23",8
"24",7
"25",6
"26",4
"27",0
"28",2
"29",40
"30",20
"31",21
"32",12
"33",5
"34",6
"35",6
"36",5
"37",14
"38",13
"39",6
"40",0
"41",26
"42",12
"43",6
"44",22
"45",12
"46",6
"47",8
"48",4
"49",4
"50",4
"51",6
"52",2
"53",7
"54",9
"55",12
"56",14
"57",16
"58",24
"59",10
"60",9
"61",11
"62",0
"63",0
"64",5
"65",0
"66",0
"67",3
"68",3
"69",37
"70",29
"71",28
"72",29
"73",3
"74",5
"75",2
"76",5
"77",3
"78",0
"79",6
"80",7
"81",3
"82",4
"83",3
"84",4
"85",3
"86",4
"87",3
"88",4
"89",2
"90",3
"91",3
"92",5
"93",8
"94",12
"95",2
"96",8
"97",18
"98",24
"99",76
"100",25
"101",2
"102",1
"103",2
"104",1
"105",3
"106",1
"107",4
"108",2
"109",13
"110",15
"111",13
"112",12
