"","country_txt","count","gdp","population","gdpPerCapita","religion","ethnic","language","law","corruption","democracy","autocracy","region","region_numeric"
"1","Afghanistan",6656,1.9331e+10,32526562,594.314271517537,"0.2717","0.7693","0.6141",-1.67252540588379,-1.43267714977264,1,2,"Asia",1
"2","Albania",7,1.1398e+10,2889167,3945.08174847629,"0.4719","0.2204","0.0399",-0.54815685749054,-0.701515316963196,9,0,"Europe",2
"3","Algeria",92,1.66839e+11,39666519,4206.04086786642,"0.0091","0.3394","0.4427",-0.658459186553955,-0.471443355083466,3,1,"Middle East & North Africa",3
"4","Argentina",5,5.83169e+11,43416755,13431.888219191,"0.2236","0.2550","0.0618",-0.73261684179306,-0.462756901979446,9,0,"South America",5
"5","Armenia",3,1.0529e+10,3017712,3489.06721383618,"0.4576","0.1272","0.1291",-0.316483944654465,-0.461841315031052,5,0,"Asia",1
"6","Australia",16,1.339141e+12,23781169,56310.9828621125,"0.8211","0.0929","0.3349",1.76485133171082,1.77297699451447,10,0,"Asia",1
"7","Austria",1,3.7695e+11,8611088,43774.9561960115,"0.4146","0.1068","0.1522",1.84013962745667,1.5166289806366,10,0,"Europe",2
"8","Azerbaijan",3,5.3047e+10,9651349,5496.33009851783,"0.4899","0.2047","0.2054",-0.676449298858643,-0.901802599430084,0,7,"Asia",1
"10","Bahrain",137,3.1126e+10,1377237,22600.3222393822,"0.5528","0.5021","0.4344",0.360529184341431,0.458150625228882,0,10,"Middle East & North Africa",3
"11","Bangladesh",752,1.95079e+11,160995642,1211.70360623799,"0.2090","0.0454","0.0925",-0.822508931159973,-0.890438914299011,3,2,"Asia",1
"12","Belarus",3,5.4609e+10,9513000,5740.46042257963,"0.6116","0.3222","0.4666",-0.881906747817993,-0.518927037715912,0,7,"Europe",2
"13","Belgium",3,4.55086e+11,11285721,40324.0519591083,"0.2127","0.5554","0.5409",1.41385805606842,1.6419643163681,8,0,"Europe",2
"15","Bhutan",1,2.058e+09,774830,2656.0664920047,"0.3787","0.6050","0.6056",0.260456085205078,0.844272375106812,6,1,"Asia",1
"16","Bolivia",1,3.2998e+10,10724705,3076.82122725054,"0.2085","0.7396","0.2240",-1.07255828380585,-0.588413834571838,7,0,"South America",5
"18","Brazil",12,1.774725e+12,207847528,8538.59084626688,"0.6054","0.5408","0.0468",-0.110318258404732,-0.116865120828152,8,0,"South America",5
"19","Bulgaria",8,5.0199e+10,7177991,6993.46098372093,"0.5965","0.4021","0.3031",-0.129220902919769,-0.291924655437469,9,0,"Europe",2
"20","Burkina Faso",6,1.0678e+10,18105570,589.763260698227,"0.5798","0.7377","0.7228",-0.519544541835785,-0.568455696105957,7,1,"Sub-Saharan Africa",6
"21","Burundi",108,3.097e+09,11178921,277.039259871324,"0.5158","0.2951","0.2977",-1.04325938224792,-1.37953495979309,2,3,"Sub-Saharan Africa",6
"22","Cambodia",2,1.805e+10,15577899,1158.69283784675,"0.0965","0.2105","0.2104",-0.984416425228119,-1.0140700340271,3,1,"Asia",1
"23","Cameroon",152,2.8416e+10,23344179,1217.26277030347,"0.7338","0.8635","0.8898",-1.04336023330688,-1.19344973564148,1,5,"Sub-Saharan Africa",6
"24","Canada",14,1.550537e+12,35851774,43248.5432938409,"0.6958","0.7124","0.5772",1.75106501579285,1.88775932788849,10,0,"North America",4
"26","Chad",28,1.0889e+10,14037472,775.709472474816,"0.6411","0.8620","0.8635",-1.36844909191132,-1.29173290729523,1,3,"Sub-Saharan Africa",6
"27","Chile",24,2.40796e+11,17948141,13416.2083972931,"0.3841","0.1861","0.1871",1.34370648860931,1.53181517124176,10,0,"South America",5
"28","China",69,1.1007721e+13,1371220000,8027.68410612447,"0.6643","0.1538","0.1327",-0.451441377401352,-0.351505666971207,0,7,"Asia",1
"29","Colombia",628,2.9208e+11,48228704,6056.14449021894,"0.1478","0.6014","0.0193",-0.441039681434631,-0.430265933275223,7,0,"South America",5
"30","Croatia",2,4.8732e+10,4224404,11535.8284861012,"0.4447","0.3690","0.0763",0.273468673229218,0.109819047152996,9,0,"Europe",2
"31","Cyprus",18,1.956e+10,1165300,16785.3771560971,"0.3962","0.0939","0.3962",1.00826299190521,1.24836277961731,10,0,"Europe",2
"32","Czech Republic",10,1.85156e+11,10551219,17548.3041343375,"0.6591","0.3222","0.3233",1.01224040985107,0.193954825401306,9,0,"Europe",2
"34","Denmark",5,2.95091e+11,5676002,51989.2346760977,"0.2333","0.0819","0.1049",1.8846743106842,2.4255907535553,10,0,"Europe",2
"35","Djibouti",2,1.727e+09,887861,1945.12429310444,"0.0435","0.7962","0.6558",-0.752219557762146,-0.424442917108536,5,1,"Sub-Saharan Africa",6
"36","Dominican Republic",2,6.8103e+10,10528391,6468.50976564225,"0.3118","0.4294","0.0395",-0.51151430606842,-0.827898144721985,8,0,"North America",4
"37","Ecuador",4,1.00177e+11,16144363,6205.07603799543,"0.1417","0.6550","0.1308",-0.958825886249542,-0.612504839897156,6,1,"South America",5
"39","Estonia",2,2.2459e+10,1311998,17118.1663386682,"0.4985","0.5062","0.4944",1.17520189285278,1.11716139316559,9,0,"Europe",2
"40","Ethiopia",17,6.154e+10,99390750,619.172307282116,"0.6249","0.7235","0.8073",-0.612683475017548,-0.506208717823029,1,4,"Sub-Saharan Africa",6
"41","Finland",9,2.3195e+11,5482013,42311.0999554361,"0.2531","0.1315","0.1412",1.93717730045319,2.20648121833801,10,0,"Europe",2
"42","France",127,2.418836e+12,66808385,36205.5750936054,"0.4029","0.1032","0.1221",1.40889143943787,1.31224071979523,9,0,"Europe",2
"43","Georgia",8,1.3965e+10,3679000,3795.86844251155,"0.6543","0.4923","0.4749",-0.012608750723302,0.359656810760498,8,1,"Asia",1
"44","Germany",68,3.363447e+12,81413145,41313.3161727139,"0.6571","0.1682","0.1642",1.62639212608337,1.79008543491364,10,0,"Europe",2
"45","Ghana",1,3.7543e+10,27409893,1369.68794442211,"0.7987","0.6733","0.6731",0.11692102253437,-0.069147706031799,8,0,"Sub-Saharan Africa",6
"46","Greece",132,1.94851e+11,10823732,18002.2010892361,"0.1530","0.1576","0.0300",0.447245359420776,-0.103219032287598,10,0,"Europe",2
"47","Guatemala",7,6.3794e+10,16342897,3903.46950115393,"0.3753","0.5122","0.4586",-1.11463975906372,-0.578350067138672,9,1,"North America",4
"48","Guinea",4,6.699e+09,12608590,531.304451964891,"0.2649","0.7389","0.7725",-1.39813268184662,-1.0435973405838,4,0,"Sub-Saharan Africa",6
"49","Guinea-Bissau",1,1.057e+09,1844325,573.109403169181,"0.6128","0.8082","0.8141",-1.59940207004547,-1.27530360221863,7,1,"Sub-Saharan Africa",6
"50","Honduras",3,2.0421e+10,8075060,2528.89761809819,"0.2357","0.1867","0.0553",-1.20012271404266,-0.959204852581024,7,0,"North America",4
"51","Hungary",2,1.21715e+11,9844686,12363.5228183001,"0.5244","0.1522","0.0297",0.572680830955505,0.291925370693207,10,0,"Europe",2
"53","India",3047,2.095398e+12,1311050527,1598.25876794755,"0.3260","0.4182","0.8069",-0.080621220171452,-0.557112872600555,9,0,"Asia",1
"54","Indonesia",132,8.61934e+11,257563815,3346.48716086147,"0.2340","0.7351","0.7680",-0.544045925140381,-0.621024608612061,9,0,"Asia",1
"56","Iraq",10955,1.80069e+11,36423395,4943.77308869753,"0.4844","0.3689","0.3694",-1.48087668418884,-1.26323783397675,6,0,"Middle East & North Africa",3
"57","Ireland",117,2.83703e+11,4640703,61133.625659733,"0.1550","0.1206","0.0312",1.732017993927,1.54965257644653,10,0,"Europe",2
"58","Israel",454,2.99416e+11,8380400,35728.1275356785,"0.3469","0.3436","0.5525",0.962374866008759,0.849976718425751,7,1,"Middle East & North Africa",3
"59","Italy",29,1.821497e+12,60802085,29957.8049009339,"0.3027","0.1145","0.1147",0.365901529788971,-0.036131162196398,10,0,"Europe",2
"61","Jamaica",1,1.4262e+10,2725941,5231.95476351102,"0.6160","0.4129","0.1098",-0.380612105131149,-0.362869948148727,9,0,"North America",4
"62","Japan",15,4.383076e+12,126958472,34523.6984263642,"0.5406","0.0119","0.0178",1.42013013362885,1.65883588790894,10,0,"Asia",1
