"","X","N"
"1",0,41
"2",3,55
"3",12,45
"4",8,52
"5",16,48
"6",4,44
"7",0,51
"8",0,54
"9",2,45
"10",1,52
"11",0,58
"12",9,45
"13",0,52
"14",5,54
"15",8,54
"16",1,50
"17",11,52
"18",3,46
"19",1,48
"20",11,46
"21",4,60
"22",1,41
"23",3,42
"24",1,53
"25",0,51
"26",3,45
"27",3,45
"28",3,57
"29",5,52
"30",0,46
"31",35,52
"32",0,55
"33",0,47
"34",8,52
"35",4,53
"36",8,48
"37",0,49
"38",1,52
"39",0,42
"40",4,49
"41",7,51
"42",1,56
"43",4,38
"44",0,53
"45",5,60
"46",2,49
"47",5,52
"48",1,57
"49",2,59
"50",3,51
"51",3,45
"52",4,55
"53",9,50
"54",16,53
"55",1,48
"56",10,40
"57",1,57
"58",1,46
"59",2,42
"60",3,59
"61",4,48
"62",0,44
"63",10,53
"64",5,52
"65",9,51
"66",1,47
"67",4,45
"68",0,50
"69",20,53
"70",0,54
"71",4,55
"72",17,47
"73",4,53
"74",3,50
"75",7,41
"76",3,46
"77",1,54
"78",9,54
"79",7,50
"80",0,49
"81",3,45
"82",3,54
"83",4,54
"84",12,56
"85",0,49
"86",0,54
"87",4,54
"88",5,47
"89",6,54
"90",20,54
"91",2,51
"92",16,49
"93",1,52
"94",1,45
"95",10,59
"96",15,49
"97",14,48
"98",1,47
"99",4,52
"100",2,50
"101",2,58
"102",2,52
"103",4,49
"104",13,57
"105",17,43
"106",2,52
"107",3,49
"108",1,51
"109",6,44
"110",7,52
"111",1,49
"112",0,43
"113",34,52
"114",2,46
"115",2,53
"116",1,61
"117",5,45
"118",0,51
"119",4,41
"120",7,47
"121",0,48
"122",0,47
"123",2,49
"124",0,49
"125",0,49
"126",0,47
"127",2,47
"128",1,49
"129",3,48
"130",1,47
"131",13,50
"132",3,45
"133",1,43
"134",6,51
"135",9,50
"136",10,52
"137",3,43
"138",8,43
"139",7,50
"140",8,52
"141",3,50
