"alpha","beta","sigma"
7.08293922909002,-0.500292649029039,0.588948675393455
7.03944368494187,-0.492010451736854,0.571034799952468
6.94096079038606,-0.479101278149548,0.557224576684965
6.87760410192675,-0.480604696134203,0.617799156252067
6.60650883022754,-0.435162575774288,0.654834465894724
7.05443451837536,-0.496020009890797,0.609431945494528
7.37083131788403,-0.534321626420446,0.559169937906394
6.76431286297796,-0.463351192059295,0.591426442195015
6.91006327452814,-0.481672580919537,0.587821283053893
7.03439135457951,-0.500596233352227,0.60677761844124
7.32965333213712,-0.518433766885241,0.601826683012191
6.98970630083349,-0.485671632879156,0.593950346724768
6.41995305242518,-0.409727698090866,0.60429540730012
6.95072399401796,-0.492976311884538,0.603302759640979
6.96510298939418,-0.476279872414064,0.599568919345443
6.91355187762695,-0.483640010182711,0.57382869705702
7.16524067723836,-0.502678095006393,0.602331006778784
7.1051055079664,-0.508573985876247,0.578549379948569
7.07072096642646,-0.50332812546023,0.573708065788523
7.07226629254659,-0.501209435517296,0.576859809827021
6.79110972640188,-0.464534330252369,0.660614329792118
6.99383053215462,-0.493206989911755,0.591338468317808
7.12966728716516,-0.509278086549766,0.582025332443154
7.3007560237057,-0.520416245523284,0.538142207389799
7.06326610373966,-0.488814394481241,0.612283842228174
7.09691064544563,-0.498631426117208,0.625885652864541
7.14107354497867,-0.503398304207918,0.563930196016556
7.12963825831342,-0.507791834238278,0.65828151954561
6.81483085659464,-0.457361526124676,0.636498763567232
7.14424047554695,-0.497268755214935,0.580692719647943
6.86505875665689,-0.471687483035638,0.568756049657603
6.94350342534655,-0.480630805675626,0.610899729120463
6.73186957970278,-0.446377040742617,0.615934264804705
7.62314699209564,-0.568804736296081,0.586164380607291
6.85671316899847,-0.46901810675124,0.612237460389926
7.09409286402904,-0.494220566519658,0.555611473547568
7.32060267880201,-0.529570507212632,0.625130576096122
7.05349909704367,-0.49004264696449,0.603337816975906
6.87284047443165,-0.457967161736779,0.611478930956424
7.27313614984051,-0.527354060759109,0.594525503182461
6.8846452936214,-0.473128885366667,0.61571014003579
7.07235354234183,-0.492548795947315,0.548708986567452
7.09379388913058,-0.506769667294386,0.651266390718383
7.10305837805043,-0.495863216310393,0.593896956203149
7.0662903900023,-0.491505493461454,0.619114659955621
7.11271634305283,-0.50193980121714,0.591002299953145
6.73588582376637,-0.461363880028619,0.629285742637075
7.06379614890523,-0.490673404919261,0.566067943180294
7.22807238963857,-0.51169473019345,0.587518183593784
6.88925282348712,-0.461916893877783,0.610804276617589
7.10921099188113,-0.503963500973947,0.59374126479955
6.81478629513596,-0.467147728514607,0.551187934596414
6.92165709915317,-0.484119158877482,0.623477850664389
7.11765396328032,-0.49853922516859,0.610301938074219
6.91688976968271,-0.473291859364167,0.604571179324787
7.29209291661841,-0.52109367285676,0.568178018651059
6.74770242918182,-0.466010781784858,0.664217964277466
6.78202479041631,-0.462683831491613,0.631216791701411
6.67274485767525,-0.449409253889081,0.573234555436616
6.98646635427075,-0.490598495569641,0.615517155563237
7.08096240832898,-0.492694785709075,0.599612304291056
6.66169575319306,-0.440687503458764,0.558358019716286
6.65293749373057,-0.446195239044087,0.622183464590709
7.0677377311023,-0.498990193864991,0.576458097706557
6.81712932332531,-0.463244045173341,0.60685501877675
7.28894127754137,-0.518544737519927,0.60606816964619
7.28369300506229,-0.522495722083173,0.628813104046195
6.79688864852448,-0.448225946206518,0.638401483666346
6.91114348865053,-0.469187485698905,0.62718667859699
7.41320097340187,-0.537523564201758,0.581061025037637
