"","date","volume","holiday"
"1","2012-02-05",18,0
"2","2012-02-12",27,0
"3","2012-02-19",22,0
"4","2012-02-26",27,0
"5","2012-03-04",35,0
"6","2012-03-11",35,0
"7","2012-03-18",29,0
"8","2012-03-25",34,0
"9","2012-04-01",32,0
"10","2012-04-08",42,0
"11","2012-04-15",24,0
"12","2012-04-22",29,0
"13","2012-04-29",35,0
"14","2012-05-06",38,0
"15","2012-05-13",36,0
"16","2012-05-20",34,0
"17","2012-05-27",33,0
"18","2012-06-03",44,0
"19","2012-06-10",31,0
"20","2012-06-17",35,0
"21","2012-06-24",40,0
"22","2012-07-01",34,0
"23","2012-07-08",39,0
"24","2012-07-15",30,0
"25","2012-07-22",35,0
"26","2012-07-29",35,0
"27","2012-08-05",25,0
"28","2012-08-12",36,0
"29","2012-08-19",39,0
"30","2012-08-26",39,0
"31","2012-09-02",53,0
"32","2012-09-09",40,0
"33","2012-09-16",36,0
"34","2012-09-23",42,0
"35","2012-09-30",29,0
"36","2012-10-07",33,0
"37","2012-10-14",39,0
"38","2012-10-21",31,0
"39","2012-10-28",49,0
"40","2012-11-04",43,0
"41","2012-11-11",40,0
"42","2012-11-18",32,0
"43","2012-11-25",31,0
"44","2012-12-02",42,0
"45","2012-12-09",45,0.875
"46","2012-12-16",63,1
"47","2012-12-23",71,1
"48","2012-12-30",66,1
"49","2013-01-06",22,0.25
"50","2013-01-13",18,0
"51","2013-01-20",30,0
"52","2013-01-27",33,0
"53","2013-02-03",29,0
"54","2013-02-10",37,0
"55","2013-02-17",38,0
"56","2013-02-24",25,0
"57","2013-03-03",43,0
"58","2013-03-10",36,0
"59","2013-03-17",40,0
"60","2013-03-24",39,0
"61","2013-03-31",39,0
"62","2013-04-07",45,0
"63","2013-04-14",36,0
"64","2013-04-21",40,0
"65","2013-04-28",39,0
"66","2013-05-05",41,0
"67","2013-05-12",39,0
"68","2013-05-19",44,0
"69","2013-05-26",52,0
"70","2013-06-02",40,0
"71","2013-06-09",35,0
"72","2013-06-16",33,0
"73","2013-06-23",42,0
"74","2013-06-30",42,0
"75","2013-07-07",34,0
"76","2013-07-14",36,0
"77","2013-07-21",40,0
"78","2013-07-28",43,0
