"","origin","affected","count","d","trade","o_lpop","o_lgdp","o_civr","o_muslim","o_budhist","o_hindu","o_femil","t_lpop","t_lgdp","t_civr","o_elf","o_infmort","occupier"
"3","Angola","Afghanistan",0,4.7188258201306,0,16.3332061767578,6.2516565322876,6,0,0,0,2.606,17.0383777618408,5.90808296203613,7,0.782999992370605,124,0
"4","United Arab E.","Afghanistan",0,1.12744463008341,0,14.8176116943359,9.71221733093262,5,0.96,0,0,22.584,17.0383777618408,5.90808296203613,7,0.241999998688698,8,0
"5","Indonesia","Afghanistan",0,3.72262924199691,0.000118199524877127,19.1336307525635,6.94025564193726,4.5,0.88,0.00999999977648258,0.0199999995529652,19.703,17.0383777618408,5.90808296203613,7,0.757000029087067,43,0
"6","Uruguay","Afghanistan",0,9.36806789925434,4.62253819932812e-06,15.0060939788818,8.77946186065674,2,0,0,0,2.067,17.0383777618408,5.90808296203613,7,0.375,16,0
"7","Lebanon","Afghanistan",0,1.91598329770206,0.000227041586185805,15.2530536651611,7.97413158416748,5,0.7,0,0,20.982,17.0383777618408,5.90808296203613,7,0.356000006198883,27,0
"8","Guinea-Biss","Afghanistan",0,5.45911940877183,0,13.9546899795532,5.36751508712769,4.5,0.45,0,0,79.094,17.0383777618408,5.90808296203613,7,0.783999979496002,128,0
"9","Mauritius","Afghanistan",0,3.8530031721007,0,13.9636974334717,8.30333137512207,2,0.166,0,0.519999980926514,19.917,17.0383777618408,5.90808296203613,7,0.488999992609024,19,0
"10","Pakistan","Afghanistan",5,0.232418063217322,0.00313665275461972,18.6983127593994,6.2307915687561,5,0.97,0,0.00999999977648258,73.787,17.0383777618408,5.90808296203613,7,0.537000000476837,91,0
"11","Gabon","Afghanistan",0,4.50427594986115,0,13.9701957702637,8.42650604248047,4,0,0,0,37.8,17.0383777618408,5.90808296203613,7,0.808000028133392,86,0
"12","Ecuador","Afghanistan",0,9.27521596536008,4.81737879454158e-05,16.3169460296631,7.43247318267822,3,0,0,0,10.926,17.0383777618408,5.90808296203613,7,0.657000005245209,32,0
"13","Yemen","Afghanistan",0,2.03469452650227,0,16.6249141693115,5.72900438308716,6,0.99,0,0,77.543,17.0383777618408,5.90808296203613,7,0.0500000007450581,82,0
"14","China","Afghanistan",0,2.59336322205389,0.000106637598946691,20.9383773803711,6.65306282043457,6.5,0.03,0.100000001490116,0,25.583,17.0383777618408,5.90808296203613,7,0.130999997258186,31,0
"15","Mauritania","Afghanistan",0,5.24514454456597,0,14.7290458679199,6.19400453567505,5.59999990463257,1,0,0,71.126,17.0383777618408,5.90808296203613,7,0.319000005722046,90,0
"16","Sri Lanka","Afghanistan",0,2.02302190006324,3.36052448801638e-06,16.7493667602539,6.75564956665039,4,0.07,0.699999988079071,0.150000005960464,11.836,17.0383777618408,5.90808296203613,7,0.421999990940094,16,0
"18","Kenya","Afghanistan",0,3.23993934827718,0,17.1724071502686,5.81312227249146,5.5,0.1,0,0,26.816,17.0383777618408,5.90808296203613,7,0.882000029087067,76,0
"20","Ghana","Afghanistan",0,4.80406797365095,0,16.7278614044189,6.00704288482666,3,0.16,0,0,40.217,17.0383777618408,5.90808296203613,7,0.874000012874603,65,0
"21","Brazil","Afghanistan",0,8.35675607515215,2.57787833106704e-05,18.9274978637695,8.42549896240234,4,0,0,0,15.586,17.0383777618408,5.90808296203613,7,0.575999975204468,33,0
"22","Latvia","Afghanistan",0,2.61316619367173,2.64863338088617e-05,14.6951370239258,7.83706903457642,2,0,0,0,0.208,17.0383777618408,5.90808296203613,7,0.575824022293091,15,0
"23","Cameroon","Afghanistan",0,4.24385693378616,0,16.4687519073486,6.49595880508423,5,0.2,0,0,33.579,17.0383777618408,5.90808296203613,7,0.879000008106232,77,0
"24","Gambia","Afghanistan",0,5.45803778143004,0,14.0174798965454,5.89190912246704,5.5,0.987,0,0,72.628,17.0383777618408,5.90808296203613,7,0.716000020503998,76,0
"25","Myanmar","Afghanistan",0,2.06592037961663,0,17.6571102142334,5.68697547912598,7,0.04,0.889999985694885,0,20.585,17.0383777618408,5.90808296203613,7,0.421000003814697,78,0
"27","Zambia","Afghanistan",0,4.36932614169868,0,16.0840950012207,5.98107004165649,4,0.25,0,0.239999994635582,31.025,17.0383777618408,5.90808296203613,7,0.806999981403351,114,0
"28","Madagascar","Afghanistan",0,3.95458543731296,0,16.4965324401855,5.49355363845825,4,0.07,0,0,42.254,17.0383777618408,5.90808296203613,7,0.870999991893768,92,0
"29","Bangladesh","Afghanistan",0,1.4764955441171,0,18.6596984863281,5.88706254959106,4,0.83,0,0.159999996423721,71.478,17.0383777618408,5.90808296203613,7,0.0430000014603138,73,0
"30","Central Afr. R.","Afghanistan",0,3.84146743824931,0,15.0973882675171,5.80739974975586,4.5,0.15,0,0,68.121,17.0383777618408,5.90808296203613,7,0.825999975204468,98,0
